23/10/2013 00:30:25 > #START_PROGRAM-----------------------------------------------------
23/10/2013 00:01:01 > @T?i torrent: M? t?p tin F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\torrent\npp.6.4.5.Installer.exe.torrent
23/10/2013 00:00:56 > @T?i torrent: M? t?p tin F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\torrent\ConnectifyInstaller.exe.torrent
23/10/2013 00:00:49 > #START_PROGRAM-----------------------------------------------------
22/10/2013 23:56:51 > #END_PROGRAM-------------------------------------------------------
22/10/2013 23:56:03 > #END Noifile()
22/10/2013 23:56:03 > N?i thành công ghepfile/Khoc Tham.mp4/Khoc Tham.mp4
22/10/2013 23:56:03 > N?i chunk th? i = 71
22/10/2013 23:56:03 > N?i chunk th? i = 70
22/10/2013 23:56:03 > N?i chunk th? i = 69
22/10/2013 23:56:03 > N?i chunk th? i = 68
22/10/2013 23:56:03 > N?i chunk th? i = 67
22/10/2013 23:56:03 > N?i chunk th? i = 66
22/10/2013 23:56:03 > N?i chunk th? i = 65
22/10/2013 23:56:03 > N?i chunk th? i = 64
22/10/2013 23:56:02 > N?i chunk th? i = 63
22/10/2013 23:56:02 > N?i chunk th? i = 62
22/10/2013 23:56:02 > N?i chunk th? i = 61
22/10/2013 23:56:02 > N?i chunk th? i = 60
22/10/2013 23:56:02 > N?i chunk th? i = 59
22/10/2013 23:56:02 > N?i chunk th? i = 58
22/10/2013 23:56:02 > N?i chunk th? i = 57
22/10/2013 23:56:02 > N?i chunk th? i = 56
22/10/2013 23:56:02 > N?i chunk th? i = 55
22/10/2013 23:56:02 > N?i chunk th? i = 54
22/10/2013 23:56:02 > N?i chunk th? i = 53
22/10/2013 23:56:02 > N?i chunk th? i = 52
22/10/2013 23:56:02 > N?i chunk th? i = 51
22/10/2013 23:56:02 > N?i chunk th? i = 50
22/10/2013 23:56:02 > N?i chunk th? i = 49
22/10/2013 23:56:02 > N?i chunk th? i = 48
22/10/2013 23:56:02 > N?i chunk th? i = 47
22/10/2013 23:56:02 > N?i chunk th? i = 46
22/10/2013 23:56:02 > N?i chunk th? i = 45
22/10/2013 23:56:02 > N?i chunk th? i = 44
22/10/2013 23:56:02 > N?i chunk th? i = 43
22/10/2013 23:56:02 > N?i chunk th? i = 42
22/10/2013 23:56:02 > N?i chunk th? i = 41
22/10/2013 23:56:02 > N?i chunk th? i = 40
22/10/2013 23:56:02 > N?i chunk th? i = 39
22/10/2013 23:56:02 > N?i chunk th? i = 38
22/10/2013 23:56:02 > N?i chunk th? i = 37
22/10/2013 23:56:02 > N?i chunk th? i = 36
22/10/2013 23:56:02 > N?i chunk th? i = 35
22/10/2013 23:56:02 > N?i chunk th? i = 34
22/10/2013 23:56:02 > N?i chunk th? i = 33
22/10/2013 23:56:02 > N?i chunk th? i = 32
22/10/2013 23:56:02 > N?i chunk th? i = 31
22/10/2013 23:56:02 > N?i chunk th? i = 30
22/10/2013 23:56:02 > N?i chunk th? i = 29
22/10/2013 23:56:02 > N?i chunk th? i = 28
22/10/2013 23:56:02 > N?i chunk th? i = 27
22/10/2013 23:56:02 > N?i chunk th? i = 26
22/10/2013 23:56:02 > N?i chunk th? i = 25
22/10/2013 23:56:02 > N?i chunk th? i = 24
22/10/2013 23:56:02 > N?i chunk th? i = 23
22/10/2013 23:56:02 > N?i chunk th? i = 22
22/10/2013 23:56:02 > N?i chunk th? i = 21
22/10/2013 23:56:02 > N?i chunk th? i = 20
22/10/2013 23:56:02 > N?i chunk th? i = 19
